,p_value
hotel,0.0
arrival_date_month,3.671822609327152e-119
meal,1.3212351959124216e-64
country,0.0
market_segment,0.0
distribution_channel,0.0
reserved_room_type,1.121956218424043e-133
assigned_room_type,0.0
deposit_type,0.0
customer_type,0.0
reservation_status,0.0
reservation_status_date,0.0
